"year","month","day","latitude","longitude","species","speciesKey","kingdom","countryCode","stateProvince"
1900,11,NA,-29.854167,31.05,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1929,10,NA,-3.2149,40.1218,"Egybolis vaillantina",1782645,"Animalia","KE",""
1930,11,1,-3.2149,40.1218,"Egybolis vaillantina",1782645,"Animalia","KE",""
1930,12,7,-3.2149,40.1218,"Egybolis vaillantina",1782645,"Animalia","KE",""
1936,9,NA,-3.2149,40.1218,"Egybolis vaillantina",1782645,"Animalia","KE",""
1939,7,9,-3.369,39.9796,"Egybolis vaillantina",1782645,"Animalia","KE",""
1939,11,12,-3.369,39.9796,"Egybolis vaillantina",1782645,"Animalia","KE",""
1942,5,17,0.05,37.5667,"Egybolis vaillantina",1782645,"Animalia","KE",""
1942,7,14,0.05,37.5667,"Egybolis vaillantina",1782645,"Animalia","KE",""
1943,7,7,-3.2149,40.1218,"Egybolis vaillantina",1782645,"Animalia","KE",""
1946,4,8,-25.4711,32.7097,"Egybolis vaillantina",1782645,"Animalia","MZ","Maputo"
1947,4,4,-0.4091,36.9723,"Egybolis vaillantina",1782645,"Animalia","KE",""
1948,11,NA,-25.89197,32.605135,"Egybolis vaillantina",1782645,"Animalia","MZ","Cidade de Maputo"
1948,12,NA,-25.89197,32.605135,"Egybolis vaillantina",1782645,"Animalia","MZ","Cidade de Maputo"
1949,8,7,-26.84107,32.88712,"Egybolis vaillantina",1782645,"Animalia","MZ","Maputo"
1949,9,5,-25.96925,32.5732,"Egybolis vaillantina",1782645,"Animalia","MZ","Maputo"
1950,8,20,-28.636667,32.060278,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1950,NA,NA,0.05,37.5667,"Egybolis vaillantina",1782645,"Animalia","KE",""
1952,12,NA,-25.89197,32.605135,"Egybolis vaillantina",1782645,"Animalia","MZ","Cidade de Maputo"
1953,1,NA,-25.89197,32.605135,"Egybolis vaillantina",1782645,"Animalia","MZ","Cidade de Maputo"
1955,9,NA,-25.402222,32.807222,"Egybolis vaillantina",1782645,"Animalia","MZ",""
1956,5,29,-29.815903,31.017681,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal Province"
1956,7,10,-29.725843,31.085628,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal Province"
1957,12,NA,-25.89197,32.605135,"Egybolis vaillantina",1782645,"Animalia","MZ","Cidade de Maputo"
1958,4,NA,-3.633333,39.85,"Egybolis vaillantina",1782645,"Animalia","KE",""
1959,1,15,-29.85,31.016667,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1960,9,18,-23.703056,34.231667,"Egybolis vaillantina",1782645,"Animalia","MZ",""
1961,NA,NA,-29.483333,31.233333,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1967,1,3,-25.96925,32.5732,"Egybolis vaillantina",1782645,"Animalia","MZ","Maputo"
1968,8,1,-25.89197,32.605135,"Egybolis vaillantina",1782645,"Animalia","MZ","Cidade de Maputo"
1970,NA,NA,-26.02834,32.33852,"Egybolis vaillantina",1782645,"Animalia","MZ","Maputo"
1972,2,8,-4.284454,39.521412,"Egybolis vaillantina",1782645,"Animalia","KE",""
1972,2,13,-4.292898,39.564042,"Egybolis vaillantina",1782645,"Animalia","KE",""
1972,6,21,-31.623889,29.545278,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
1973,8,NA,-15.97763,31.84459,"Egybolis vaillantina",1782645,"Animalia","MZ","Tete"
1973,9,NA,-15.97763,31.84459,"Egybolis vaillantina",1782645,"Animalia","MZ","Tete"
1975,6,NA,-3.304022,39.985069,"Egybolis vaillantina",1782645,"Animalia","KE",""
1977,10,1,-30.4,30.683333,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1978,12,10,-30.233333,30.783333,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1979,2,NA,-0.5,34.5,"Egybolis vaillantina",1782645,"Animalia","KE",""
1979,5,23,-30.233333,30.783333,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1979,12,12,-30.233333,30.783333,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1981,4,17,-3.2149,40.1218,"Egybolis vaillantina",1782645,"Animalia","KE",""
1982,12,16,-30.095556,30.8575,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1986,10,25,-29.854167,31.05,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1990,7,24,-28.107222,32.450556,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1991,1,9,-31.081944,30.194444,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1991,6,17,-26.899167,32.866111,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1991,10,12,-27.620833,32.276667,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1993,5,16,-26.899167,32.866111,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
1998,1,28,-27.526389,30.219167,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2000,11,27,-28.065,32.401667,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2000,12,6,-28.065,32.401667,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2006,4,19,-18.041516,35.20716,"Egybolis vaillantina",1782645,"Animalia","MZ","Sofala"
2008,1,27,-29.778534,30.832666,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2008,8,3,-6.85605,39.360675,"Egybolis vaillantina",1782645,"Animalia","TZ","Dar es Salaam"
2008,8,21,-21.533276,35.201805,"Egybolis vaillantina",1782645,"Animalia","MZ","Inhambane"
2010,12,9,-30.3012,30.7427,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2011,3,28,-31.673093,29.454112,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
2011,12,9,-28.086819,32.52372,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2012,8,5,-13.252651,31.933636,"Egybolis vaillantina",1782645,"Animalia","ZM","Zambia - Eastern"
2012,8,11,-3.421251,38.360992,"Egybolis vaillantina",1782645,"Animalia","KE","Taita Taveta"
2013,1,10,-26.83319,31.971175,"Egybolis vaillantina",1782645,"Animalia","SZ","Lubombo"
2013,3,27,-29.529645,31.220517,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2013,6,16,-32.30438,28.82778,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
2013,7,19,-15.788,34.68744,"Egybolis vaillantina",1782645,"Animalia","MW","Mwanza"
2013,11,23,-27.033,32.476,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2013,11,24,-30.29948,30.74273,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2013,12,5,-32.303949,28.827462,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
2013,12,28,-32.851608,28.094711,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
2014,2,20,-9.487556,34.02375,"Egybolis vaillantina",1782645,"Animalia","TZ","Mbeya"
2014,3,18,-32.303919,28.828852,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
2014,5,2,-30.29948,30.74273,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2014,5,21,-30.29948,30.74273,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2014,5,25,-30.29948,30.74273,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2014,6,15,-28.380907,32.414021,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2014,7,2,-28.3834,32.4215,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2014,7,11,-22.138978,35.123501,"Egybolis vaillantina",1782645,"Animalia","MZ","Inhambane"
2014,11,8,-29.111408,31.603898,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2014,12,20,-32.851608,28.094711,"Egybolis vaillantina",1782645,"Animalia","ZA","Eastern Cape"
2015,1,31,-28.318879,31.844315,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2015,1,31,-28.319012,31.833419,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2015,2,26,-30.3013,30.7427,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2015,5,20,-28.37622,32.41807,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2015,6,14,-28.376202,32.417957,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2015,10,15,-7.014803,37.813444,"Egybolis vaillantina",1782645,"Animalia","TZ","Morogoro"
2015,10,19,-30.29948,30.74273,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
2015,11,6,-30.29948,30.74273,"Egybolis vaillantina",1782645,"Animalia","ZA","KwaZulu-Natal"
